Date,Open,High,Low,Close,Adj Close,Volume
1970-01-01 00:00:00.000037137,23.799999,23.799999,23.1,23.495001,20.30599,329800.0
1970-01-01 00:00:00.000037138,23.59,23.889999,23.115,23.205,20.055351,541930.0
1970-01-01 00:00:00.000037139,23.5,23.594999,23.15,23.5,20.31031,453140.0
1970-01-01 00:00:00.000037140,23.530001,23.790001,23.405001,23.5,20.31031,871710.0
1970-01-01 00:00:00.000037141,23.1,23.799999,23.1,23.209999,20.059666,372950.0
1970-01-01 00:00:00.000037144,23.625,23.625,23.1,23.305,20.141775,171000.0
1970-01-01 00:00:00.000037145,23.205,23.575001,23.205,23.455,20.271416,534460.0
1970-01-01 00:00:00.000037146,22.5,22.889999,21.6,22.004999,19.018225,718730.0
1970-01-01 00:00:00.000037147,22.205,22.58,21.6,21.955,18.975014,624300.0
1970-01-01 00:00:00.000037148,21.65,21.889999,20.135,20.385,17.618114,1593180.0
1970-01-01 00:00:00.000037151,20.5,20.5,18.41,19.280001,16.663099,1768810.0
1970-01-01 00:00:00.000037152,19.6,21.200001,18.51,20.610001,17.812578,1460670.0
1970-01-01 00:00:00.000037153,20.629999,21.629999,19.825001,21.344999,18.447809,1544580.0
1970-01-01 00:00:00.000037154,21.295,21.870001,20.6,21.66,18.720055,1023600.0
1970-01-01 00:00:00.000037155,20.825001,21.4,20.4,21.280001,18.391634,985810.0
1970-01-01 00:00:00.000037158,21.014999,21.25,20.0,20.24,17.492792,1833860.0
1970-01-01 00:00:00.000037159,20.6,21.9,20.5,20.834999,18.007032,610790.0
1970-01-01 00:00:00.000037160,20.870001,21.594999,20.200001,21.475,18.560167,1255620.0
1970-01-01 00:00:00.000037161,21.5,21.75,20.625,21.465,18.551521,804790.0
1970-01-01 00:00:00.000037162,21.25,21.9,21.25,21.709999,18.763268,439160.0
1970-01-01 00:00:00.000037165,21.65,21.77,20.85,20.975,18.128031,1124980.0
1970-01-01 00:00:00.000037166,20.975,20.975,20.975,20.975,18.128031,0.0
1970-01-01 00:00:00.000037167,21.004999,21.6,20.91,21.084999,18.223099,961310.0
1970-01-01 00:00:00.000037168,21.125,21.35,21.035,21.209999,18.331137,1034310.0
1970-01-01 00:00:00.000037169,21.209999,21.559999,21.1,21.415001,18.50831,269540.0
1970-01-01 00:00:00.000037172,21.0,21.525,19.5,21.450001,18.538557,378710.0
1970-01-01 00:00:00.000037173,21.450001,21.549999,21.35,21.395,18.491022,251460.0
1970-01-01 00:00:00.000037174,21.4,21.674999,21.275,21.594999,18.663877,193220.0
1970-01-01 00:00:00.000037175,21.700001,22.200001,21.700001,22.049999,19.057119,664920.0
1970-01-01 00:00:00.000037176,22.5,23.5,22.5,23.325001,20.159063,1783340.0
1970-01-01 00:00:00.000037179,23.299999,23.299999,22.549999,22.790001,19.696676,335000.0
1970-01-01 00:00:00.000037180,22.895,22.959999,22.52,22.715,19.631859,154190.0
1970-01-01 00:00:00.000037181,22.605,22.92,22.325001,22.525,19.467644,676610.0
1970-01-01 00:00:00.000037182,22.215,22.795,22.200001,22.424999,19.38122,544210.0
1970-01-01 00:00:00.000037183,22.309999,22.5,22.235001,22.424999,19.38122,581950.0
1970-01-01 00:00:00.000037186,23.0,23.799999,22.115,22.32,19.290474,1368530.0
1970-01-01 00:00:00.000037187,22.5,23.200001,21.834999,22.48,19.428757,1364310.0
1970-01-01 00:00:00.000037188,22.52,22.73,22.455,22.525,19.467644,706930.0
1970-01-01 00:00:00.000037189,22.5,22.58,22.004999,22.174999,19.165152,1152630.0
1970-01-01 00:00:00.000037190,22.174999,22.174999,22.174999,22.174999,19.165152,0.0
1970-01-01 00:00:00.000037193,22.35,22.4,21.645,21.9,18.927479,1277050.0
1970-01-01 00:00:00.000037194,21.610001,21.895,21.610001,21.799999,18.841049,699590.0
1970-01-01 00:00:00.000037195,21.6,21.875,21.6,21.77,18.815125,716430.0
1970-01-01 00:00:00.000037196,21.799999,21.85,21.629999,21.785,18.828087,973000.0
1970-01-01 00:00:00.000037197,22.0,22.34,21.85,22.215,19.199722,852680.0
1970-01-01 00:00:00.000037200,22.0,22.200001,22.0,22.125,19.121939,805010.0
1970-01-01 00:00:00.000037201,22.15,22.190001,21.690001,21.775,18.819447,1313020.0
1970-01-01 00:00:00.000037202,23.139999,23.139999,21.725,21.945,18.966368,554360.0
1970-01-01 00:00:00.000037203,21.875,21.9,21.52,21.83,18.866983,516800.0
1970-01-01 00:00:00.000037204,21.9,22.030001,21.805,21.93,18.953409,2291740.0
1970-01-01 00:00:00.000037207,21.85,22.0,21.795,21.965,18.983658,597430.0
1970-01-01 00:00:00.000037208,21.9,22.0,21.799999,21.945,18.966368,863430.0
1970-01-01 00:00:00.000037209,22.09,22.450001,22.01,22.16,19.152185,163700.0
1970-01-01 00:00:00.000037210,22.4,22.4,21.9,22.07,19.074406,1220140.0
1970-01-01 00:00:00.000037211,22.07,22.07,22.07,22.07,19.074406,0.0
1970-01-01 00:00:00.000037214,22.5,22.5,22.0,22.209999,19.195406,2328030.0
1970-01-01 00:00:00.000037215,22.469999,22.549999,22.205,22.48,19.428757,1073670.0
1970-01-01 00:00:00.000037216,22.4,22.700001,22.4,22.465,19.415791,1459200.0
1970-01-01 00:00:00.000037217,22.6,22.6,22.25,22.299999,19.27319,881180.0
1970-01-01 00:00:00.000037218,22.4,22.57,22.280001,22.514999,19.459003,697010.0
1970-01-01 00:00:00.000037221,22.700001,22.99,22.440001,22.700001,19.618896,645600.0
1970-01-01 00:00:00.000037222,22.605,22.975,22.299999,22.805,19.709639,2180300.0
1970-01-01 00:00:00.000037223,23.200001,23.299999,22.110001,22.455,19.407141,1819640.0
1970-01-01 00:00:00.000037224,22.875,22.875,21.625,22.215,19.199722,2782200.0
1970-01-01 00:00:00.000037225,22.215,22.215,22.215,22.215,19.199722,0.0
1970-01-01 00:00:00.000037228,22.1,22.6,21.799999,22.450001,19.40283,1825450.0
1970-01-01 00:00:00.000037229,22.200001,22.5,22.105,22.344999,19.312075,454790.0
1970-01-01 00:00:00.000037230,22.700001,22.700001,22.129999,22.280001,19.255903,599990.0
1970-01-01 00:00:00.000037231,22.5,22.870001,22.325001,22.695,19.614573,806640.0
1970-01-01 00:00:00.000037232,22.799999,23.6,22.655001,23.415001,20.236847,1824240.0
1970-01-01 00:00:00.000037235,23.0,23.459999,22.799999,23.215,20.063993,878360.0
1970-01-01 00:00:00.000037236,23.0,23.0,22.110001,22.48,19.428757,1914040.0
1970-01-01 00:00:00.000037237,22.52,22.754999,22.299999,22.469999,19.420113,460450.0
1970-01-01 00:00:00.000037238,22.450001,23.49,21.9,23.075001,19.942997,865370.0
1970-01-01 00:00:00.000037239,22.799999,22.799999,22.25,22.48,19.428757,471780.0
1970-01-01 00:00:00.000037242,22.48,22.48,22.48,22.48,19.428757,0.0
1970-01-01 00:00:00.000037243,22.4,22.450001,22.0,22.125,19.121939,1037990.0
1970-01-01 00:00:00.000037244,22.01,22.299999,21.85,21.985001,19.000944,918080.0
1970-01-01 00:00:00.000037245,21.950001,22.485001,21.65,22.245001,19.225655,941110.0
1970-01-01 00:00:00.000037246,22.0,22.690001,22.0,22.375,19.338005,899440.0
1970-01-01 00:00:00.000037249,21.799999,22.08,21.4,21.98,18.996616,315470.0
1970-01-01 00:00:00.000037250,21.98,21.98,21.98,21.98,18.996616,0.0
1970-01-01 00:00:00.000037251,21.91,22.299999,21.91,22.055,19.06144,521530.0
1970-01-01 00:00:00.000037252,21.969999,22.299999,21.9,22.125,19.121939,448080.0
1970-01-01 00:00:00.000037253,22.09,22.174999,21.809999,22.09,19.09169,579710.0
1970-01-01 00:00:00.000037256,21.955,22.799999,21.945,22.559999,19.497896,379480.0
1970-01-01 00:00:00.000037257,22.799999,23.0,22.275,22.504999,19.450363,586410.0
1970-01-01 00:00:00.000037258,22.4,22.575001,22.299999,22.5,19.446037,621090.0
1970-01-01 00:00:00.000037259,22.5,22.795,22.219999,22.625,19.554071,495820.0
1970-01-01 00:00:00.000037260,22.5,22.799999,22.35,22.395,19.355291,213310.0
1970-01-01 00:00:00.000037263,22.4,22.635,22.155001,22.395,19.355291,812730.0
1970-01-01 00:00:00.000037264,22.5,22.5,22.004999,22.275,19.251575,589010.0
1970-01-01 00:00:00.000037265,22.15,22.5,22.15,22.434999,19.389864,433750.0
1970-01-01 00:00:00.000037266,22.5,22.65,22.200001,22.555,19.493578,706690.0
1970-01-01 00:00:00.000037267,22.59,23.15,22.4,22.635,19.562717,821870.0
1970-01-01 00:00:00.000037270,22.65,23.700001,22.65,23.370001,20.197954,1185580.0
1970-01-01 00:00:00.000037271,23.4,25.4,23.200001,23.985001,20.729483,2207830.0
1970-01-01 00:00:00.000037272,24.799999,24.9,22.9,23.09,19.955959,632500.0
1970-01-01 00:00:00.000037273,22.965,23.5,22.700001,23.305,20.141775,638360.0
1970-01-01 00:00:00.000037274,23.35,23.889999,23.35,23.73,20.509089,659840.0
1970-01-01 00:00:00.000037277,23.799999,24.299999,23.424999,23.895,20.651697,546300.0
1970-01-01 00:00:00.000037278,23.895,24.200001,23.700001,24.07,20.80294,535540.0
1970-01-01 00:00:00.000037279,24.1,24.299999,24.01,24.25,20.958515,531970.0
1970-01-01 00:00:00.000037280,24.25,24.375,23.309999,23.495001,20.30599,301650.0
1970-01-01 00:00:00.000037281,23.5,23.5,22.809999,22.915001,19.80471,254360.0
1970-01-01 00:00:00.000037284,22.610001,23.195,22.610001,22.98,19.860889,107480.0
1970-01-01 00:00:00.000037285,23.049999,23.094999,22.559999,22.66,19.584328,260460.0
1970-01-01 00:00:00.000037286,22.799999,22.799999,22.4,22.48,19.428757,565710.0
1970-01-01 00:00:00.000037287,22.42,22.700001,22.01,22.469999,19.420113,465950.0
1970-01-01 00:00:00.000037288,22.6,22.6,22.365,22.48,19.428757,136680.0
1970-01-01 00:00:00.000037291,22.6,22.790001,22.4,22.514999,19.459003,402320.0
1970-01-01 00:00:00.000037292,22.4,22.695,22.0,22.27,19.247259,2196750.0
1970-01-01 00:00:00.000037293,22.254999,22.895,22.215,22.52,19.463329,1709750.0
1970-01-01 00:00:00.000037294,22.51,23.200001,22.440001,22.665001,19.588646,667290.0
1970-01-01 00:00:00.000037295,22.775,22.799999,22.0,22.504999,19.450363,1624880.0
1970-01-01 00:00:00.000037298,22.695,23.0,22.605,22.875,19.770142,300730.0
1970-01-01 00:00:00.000037299,23.07,23.4,22.959999,23.09,19.955959,416370.0
1970-01-01 00:00:00.000037300,23.15,23.200001,22.705,22.99,19.869526,312740.0
1970-01-01 00:00:00.000037301,22.85,23.200001,22.705,22.834999,19.735575,540110.0
1970-01-01 00:00:00.000037302,23.0,23.700001,22.9,23.355,20.18499,1977900.0
1970-01-01 00:00:00.000037305,24.469999,25.49,23.9,24.844999,21.47275,2988460.0
1970-01-01 00:00:00.000037306,24.85,24.98,23.5,23.52,20.327597,982780.0
1970-01-01 00:00:00.000037307,23.5,24.5,23.35,23.629999,20.422667,451990.0
1970-01-01 00:00:00.000037308,24.084999,24.25,23.5,23.665001,20.452913,339290.0
1970-01-01 00:00:00.000037309,23.805,24.84,23.799999,24.690001,21.338789,1196420.0
1970-01-01 00:00:00.000037312,25.5,25.5,24.004999,24.254999,20.962831,891320.0
1970-01-01 00:00:00.000037313,24.120001,24.58,23.41,23.620001,20.414024,1076780.0
1970-01-01 00:00:00.000037314,23.6,24.094999,23.309999,23.690001,20.47452,897960.0
1970-01-01 00:00:00.000037315,23.91,24.49,22.9,23.360001,20.189312,1707600.0
1970-01-01 00:00:00.000037316,23.200001,23.9,23.1,23.65,20.439947,585190.0
1970-01-01 00:00:00.000037319,24.075001,24.075001,23.1,23.620001,20.414024,580750.0
1970-01-01 00:00:00.000037320,23.41,23.99,23.41,23.705,20.487478,1567030.0
1970-01-01 00:00:00.000037321,23.6,24.1,23.405001,23.514999,20.323273,442400.0
1970-01-01 00:00:00.000037322,23.57,24.0,23.530001,23.665001,20.452913,659580.0
1970-01-01 00:00:00.000037323,23.735001,23.85,23.129999,23.445,20.262774,1024270.0
1970-01-01 00:00:00.000037326,23.309999,23.690001,23.16,23.275,20.11585,261140.0
1970-01-01 00:00:00.000037327,22.91,23.299999,22.91,23.075001,19.942997,768300.0
1970-01-01 00:00:00.000037328,22.924999,23.5,22.92,23.475,20.288704,866550.0
1970-01-01 00:00:00.000037329,23.59,23.594999,23.225,23.485001,20.297344,406950.0
1970-01-01 00:00:00.000037330,23.495001,23.6,23.355,23.495001,20.30599,335430.0
